slug	sido	name	dongs	alias
gyeonggi-anseong	경기	안성	봉산동,석정동,당왕동,공도읍,보개면,금광면,서운면,미양면,대덕면,양성면,원곡면,일죽면,죽산면,삼죽면,고삼면	
gyeonggi-yangju	경기	양주	회천동,옥정동,덕정동,고읍동,백석읍,은현면,남면,광적면,장흥면,양주동,율정동	
gyeonggi-pocheon	경기	포천	포천동,선단동,소흘읍,군내면,내촌면,가산면,신북면,창수면,영중면,일동면,이동면,영북면,관인면,화현면	
gyeonggi-yeoju	경기	여주	여흥동,중앙동,오학동,가남읍,점동면,흥천면,금사면,산북면,대신면,북내면,강천면,능서면,세종대왕면	
gyeonggi-dongducheon	경기	동두천	생연동,중앙동,보산동,불현동,상패동,소요동,송내동,지행동	
gyeonggi-gwacheon	경기	과천	중앙동,갈현동,별양동,부림동,과천동,문원동,주암동	
gyeonggi-uiwang	경기	의왕	고천동,오전동,내손동,청계동,포일동,삼동,학의동,왕곡동	
gyeonggi-gapyeong	경기	가평	가평읍,설악면,청평면,상면,조종면,북면	
gyeonggi-yeoncheon	경기	연천	연천읍,전곡읍,군남면,청산면,백학면,미산면,왕징면,신서면,중면,장남면	
gyeonggi-yangpyeong	경기	양평	양평읍,강상면,강하면,양서면,옥천면,서종면,단월면,청운면,양동면,지평면,용문면,개군면	
gyeongbuk-mungyeong	경북	문경	점촌동,모전동,흥덕동,영순면,산양면,산북면,동로면,마성면,가은읍,농암면,호계면,문경읍,신기동	
gyeongbuk-uiseong	경북	의성	의성읍,단촌면,점곡면,옥산면,사곡면,춘산면,가음면,금성면,봉양면,비안면,구천면,단밀면,단북면,안계면,다인면,신평면,안평면,안사면	
gyeongbuk-cheongsong	경북	청송	청송읍,부남면,현동면,현서면,안덕면,파천면,진보면,주왕산면	
gyeongbuk-yeongyang	경북	영양	영양읍,입암면,청기면,일월면,수비면,석보면	
gyeongbuk-yeongdeok	경북	영덕	영덕읍,강구면,남정면,달산면,지품면,축산면,영해면,병곡면,창수면	
gyeongbuk-cheongdo	경북	청도	화양읍,청도읍,각남면,풍각면,각북면,이서면,운문면,금천면,매전면	
gyeongbuk-goryeong	경북	고령	대가야읍,덕곡면,운수면,성산면,다산면,개진면,우곡면,쌍림면	
gyeongbuk-seongju	경북	성주	성주읍,선남면,용암면,수륜면,가천면,금수면,대가면,벽진면,초전면,월항면	
gyeongbuk-yecheon	경북	예천	예천읍,용문면,효자면,은풍면,감천면,보문면,호명면,유천면,용궁면,개포면,지보면,풍양면	
gyeongbuk-bonghwa	경북	봉화	봉화읍,물야면,봉성면,법전면,춘양면,소천면,재산면,명호면,상운면,석포면	
gyeongbuk-uljin	경북	울진	울진읍,평해읍,북면,서면,근남면,기성면,온정면,죽변면,후포면,매화면	
gyeongbuk-ulleung	경북	울릉	울릉읍,서면,북면	
gyeongnam-uiryeong	경남	의령	의령읍,가례면,칠곡면,대의면,화정면,용덕면,정곡면,지정면,낙서면,부림면,봉수면,궁류면,유곡면	
gyeongnam-changnyeong	경남	창녕	창녕읍,남지읍,고암면,성산면,대합면,이방면,유어면,대지면,계성면,영산면,장마면,도천면,길곡면,부곡면	
gyeongnam-goseong	경남	경남 고성	고성읍,삼산면,하일면,하이면,상리면,대가면,영현면,영오면,개천면,구만면,회화면,마암면,동해면,거류면	
gyeongnam-namhae	경남	남해	남해읍,이동면,상주면,삼동면,미조면,남면,서면,고현면,설천면,창선면	
gyeongnam-hadong	경남	하동	하동읍,화개면,악양면,적량면,횡천면,고전면,금남면,진교면,양보면,북천면,청암면,옥종면,금성면	
gyeongnam-sancheong	경남	산청	산청읍,차황면,오부면,생초면,금서면,삼장면,시천면,단성면,신안면,생비량면,신등면	
gyeongnam-hamyang	경남	함양	함양읍,마천면,휴천면,유림면,수동면,지곡면,안의면,서상면,서하면,백전면,병곡면	
gyeongnam-hapcheon	경남	합천	합천읍,봉산면,묘산면,가야면,야로면,율곡면,초계면,쌍책면,덕곡면,청덕면,적중면,대양면,쌍백면,삼가면,가회면,대병면,용주면	
gangwon-chuncheon	강원	춘천	효자동,석사동,퇴계동,후평동,근화동,소양동,교동,약사명동,신사우동,동내면,신북읍,남산면	
gangwon-wonju	강원	원주	단계동,일산동,무실동,단구동,개운동,명륜동,봉산동,우산동,태장동,반곡관설동,문막읍,소초면,지정면,흥업면	혁신도시 기업도시
gangwon-gangneung	강원	강릉	교동,포남동,초당동,내곡동,옥천동,홍제동,송정동,강남동,경포동,주문진읍,연곡면,사천면,성산면,강동면,옥계면	경포 주문진
gangwon-donghae	강원	동해	천곡동,발한동,북삼동,송정동,묵호동,부곡동,용정동,효가동,삼화동,망상동	묵호
gangwon-taebaek	강원	태백	황지동,장성동,철암동,황연동,상장동,문곡소도동,구문소동,삼수동	
gangwon-sokcho	강원	속초	영랑동,동명동,금호동,청호동,교동,노학동,조양동,청학동,대포동,설악동	설악
gangwon-samcheok	강원	삼척	성내동,교동,정라동,남양동,당저동,원덕읍,근덕면,하장면,미로면,가곡면,신기면,도계읍	도계
gangwon-hongcheon	강원	홍천	홍천읍,화촌면,두촌면,내촌면,서석면,영귀미면,남면,서면,북방면,내면	
gangwon-hoengseong	강원	횡성	횡성읍,우천면,안흥면,둔내면,갑천면,청일면,공근면,서원면,강림면	
gangwon-yeongwol	강원	영월	영월읍,상동읍,산솔면,김삿갓면,북면,남면,한반도면,주천면,무릉도원면	
gangwon-pyeongchang	강원	평창	평창읍,미탄면,방림면,대화면,봉평면,용평면,진부면,대관령면	대관령
gangwon-jeongseon	강원	정선	정선읍,고한읍,사북읍,신동읍,남면,화암면,여량면,북평면,임계면	
gangwon-cheorwon	강원	철원	철원읍,김화읍,갈말읍,동송읍,서면,근남면,근북면,근동면,원동면,원남면,임남면	
gangwon-hwacheon	강원	화천	화천읍,간동면,하남면,상서면,사내면	
gangwon-yanggu	강원	양구	양구읍,남면,동면,방산면,해안면	
gangwon-inje	강원	인제	인제읍,남면,북면,기린면,서화면,상남면	
gangwon-goseong	강원	강원 고성	간성읍,거진읍,현내면,죽왕면,토성면,수동면	
gangwon-yangyang	강원	양양	양양읍,서면,손양면,현북면,현남면,강현면	
chungnam-cheonan	충남	천안	성정동,쌍용동,불당동,백석동,두정동,신부동,청수동,봉명동,일봉동,원성동,목천읍,성환읍,성거읍,직산읍,병천면	두정 불당 천안아산역
chungnam-gongju	충남	공주	금학동,옥룡동,중학동,웅진동,신관동,월송동,유구읍,이인면,탄천면,계룡면,반포면,의당면,정안면,우성면,사곡면	
chungnam-boryeong	충남	보령	대천동,주포면,주교면,오천면,천북면,청소면,청라면,남포면,웅천읍,주산면,미산면,죽정동,명천동	대천
chungnam-asan	충남	아산	온양동,배방읍,탕정면,음봉면,둔포면,영인면,인주면,선장면,도고면,신창면,송악면,염치읍,모종동,권곡동	온양 천안아산역
chungnam-seosan	충남	서산	동문동,수석동,석남동,부춘동,대산읍,인지면,부석면,팔봉면,지곡면,성연면,음암면,운산면,해미면,고북면	
chungnam-nonsan	충남	논산	취암동,부창동,강경읍,연무읍,성동면,광석면,노성면,상월면,부적면,연산면,벌곡면,양촌면,가야곡면,은진면,채운면	강경
chungnam-gyeryong	충남	계룡	금암동,두마면,엄사면,신도안면	
chungnam-dangjin	충남	당진	읍내동,채운동,수청동,우두동,송악읍,합덕읍,면천면,순성면,우강면,정미면,석문면,고대면,송산면,신평면	
chungnam-geumsan	충남	금산	금산읍,금성면,제원면,부리면,군북면,남일면,남이면,진산면,복수면,추부면	
chungnam-buyeo	충남	부여	부여읍,규암면,은산면,외산면,내산면,구룡면,홍산면,옥산면,남면,충화면,양화면,임천면,세도면,석성면,초촌면	
chungnam-seocheon	충남	서천	장항읍,서천읍,마서면,화양면,기산면,한산면,마산면,시초면,문산면,판교면,종천면,비인면,서면	장항
chungnam-cheongyang	충남	청양	청양읍,운곡면,대치면,정산면,목면,청남면,장평면,남양면,화성면,비봉면	
chungnam-hongseong	충남	홍성	홍성읍,광천읍,홍북읍,금마면,홍동면,장곡면,은하면,결성면,서부면,갈산면,구항면	내포
chungnam-yesan	충남	예산	예산읍,삽교읍,대술면,신양면,광시면,대흥면,응봉면,덕산면,봉산면,고덕면,신암면,오가면	내포 삽교
chungnam-taean	충남	태안	태안읍,안면읍,고남면,남면,근흥면,소원면,원북면,이원면	안면도
busan-junggu	부산	부산 중구	동광동,대청동,보수동,부평동,광복동,남포동,영주동	남포동 광복동
busan-seogu	부산	부산 서구	동대신동,서대신동,부민동,아미동,초장동,충무동,남부민동,암남동	
busan-donggu	부산	부산 동구	초량동,수정동,좌천동,범일동	
busan-yeongdo	부산	부산 영도구	남항동,영선동,신선동,봉래동,청학동,동삼동	
busan-busanjin	부산	부산진구	부전동,전포동,당감동,가야동,개금동,범천동,양정동,연지동,초읍동,부암동	서면
busan-dongnae	부산	동래구	명륜동,온천동,수안동,낙민동,복산동,사직동,안락동,명장동	
busan-namgu	부산	부산 남구	대연동,용호동,용당동,문현동,우암동,감만동	경성대 부경대
busan-bukgu	부산	부산 북구	구포동,금곡동,화명동,덕천동,만덕동	
busan-haeundae	부산	해운대구	우동,중동,좌동,재송동,반여동,반송동,석대동,송정동	해운대 센텀 마린시티
busan-saha	부산	사하구	괴정동,당리동,하단동,신평동,장림동,다대동,구평동,감천동	
busan-geumjeong	부산	금정구	장전동,부곡동,서동,금사동,회동동,선동,두구동,남산동,청룡동,구서동,금성동	부산대
busan-gangseo	부산	부산 강서구	대저동,강동동,명지동,죽림동,식만동,녹산동,가락동,지사동,미음동,범방동,화전동,신호동	명지
busan-yeonje	부산	연제구	거제동,연산동	
busan-suyeong	부산	수영구	남천동,수영동,망미동,광안동,민락동	광안리 광안
busan-sasang	부산	사상구	삼락동,모라동,덕포동,괘법동,감전동,주례동,학장동,엄궁동	
busan-gijang	부산	기장군	기장읍,장안읍,정관읍,일광읍,철마면	정관 일광
daegu-junggu	대구	대구 중구	동인동,삼덕동,성내동,대신동,남산동,대봉동	동성로 반월당
daegu-donggu	대구	대구 동구	신암동,신천동,효목동,도평동,불로동,봉무동,지저동,동촌동,방촌동,해안동,각산동,율하동	동대구 신서혁신도시
daegu-seogu	대구	대구 서구	내당동,비산동,평리동,상중이동,원대동	
daegu-namgu	대구	대구 남구	이천동,봉덕동,대명동	앞산
daegu-bukgu	대구	대구 북구	칠성동,침산동,산격동,복현동,검단동,대현동,노원동,고성동,읍내동,동천동,관문동,태전동,구암동,국우동	칠곡 산격
daegu-suseong	대구	수성구	범어동,만촌동,수성동,황금동,중동,상동,파동,두산동,지산동,범물동	수성 범어 시지
daegu-dalseo	대구	달서구	성당동,두류동,본리동,감삼동,죽전동,장기동,용산동,이곡동,신당동,월성동,상인동,도원동,진천동,유천동,송현동	성서 월배
daegu-dalseong	대구	달성군	화원읍,논공읍,다사읍,유가읍,옥포읍,현풍읍,가창면,하빈면,구지면	화원 다사
ulsan-junggu	울산	울산 중구	학성동,반구동,복산동,성안동,약사동,태화동,우정동,성남동,옥교동,다운동	성안 다운
ulsan-namgu	울산	울산 남구	신정동,달동,삼산동,무거동,옥동,야음동,선암동,여천동,두왕동	삼산 무거
ulsan-donggu	울산	울산 동구	방어동,화정동,일산동,전하동,서부동,동부동	방어진 일산
ulsan-bukgu	울산	울산 북구	농소동,호계동,효문동,양정동,염포동,진장동,송정동,중산동,천곡동	농소 호계
ulsan-ulju	울산	울주군	온산읍,언양읍,온양읍,범서읍,청량읍,삼남읍,서생면,웅촌면,두동면,두서면,상북면,삼동면	언양 범서
gwangju-donggu	광주	광주 동구	충장동,동명동,계림동,산수동,지산동,서남동,학동,학운동,지원동,소태동,용연동,운림동,월남동,선교동	
gwangju-seogu	광주	광주 서구	양동,농성동,광천동,유덕동,치평동,상무동,화정동,서창동,금호동,풍암동,동천동,쌍촌동,마륵동,벽진동,세하동,용두동	
gwangju-namgu	광주	광주 남구	양림동,방림동,사직동,월산동,백운동,주월동,봉선동,진월동,효덕동,송하동,대촌동,노대동,행암동,임암동,양과동	
gwangju-bukgu	광주	광주 북구	중흥동,유동,누문동,임동,신안동,용봉동,동림동,운암동,우산동,풍향동,문흥동,두암동,석곡동,각화동,오치동,매곡동,삼각동,일곡동,건국동,양산동,신용동,생용동,효령동,장등동,중앙동	
gwangju-gwangsan	광주	광산구	송정동,도산동,신흥동,어룡동,월곡동,운남동,신가동,수완동,하남동,임곡동,동곡동,평동,삼도동,본량동,비아동,첨단동,신창동,장덕동,산정동,월계동,쌍암동,오선동	수완 첨단
jeonnam-mokpo	전남	목포	용당동,연동,산정동,연산동,석현동,대성동,목원동,동명동,삼학동,만호동,유달동,죽교동,북항동,용해동,이로동,상동,옥암동,부주동,남악	하당 남악 옥암
jeonnam-yeosu	전남	여수	동문동,한려동,중앙동,충무동,광림동,서강동,대교동,국동,월호동,여서동,문수동,미평동,둔덕동,만덕동,쌍봉동,시전동,여천동,주삼동,삼일동,묘도동,돌산읍,소라면,율촌면,화양면,남면,화정면,삼산면	여천
jeonnam-suncheon	전남	순천	향동,중앙동,저전동,장천동,남제동,조곡동,덕연동,풍덕동,남내동,인제동,삼산동,왕조동,연향동,해룡면,서면,황전면,월등면,주암면,송광면,외서면,낙안면,별량면,상사면,승주읍	신대
jeonnam-naju	전남	나주	송월동,영강동,금남동,성북동,영산동,이창동,빛가람동,남평읍,세지면,왕곡면,반남면,공산면,동강면,다시면,문평면,노안면,금천면,산포면,다도면,봉황면	혁신도시 빛가람
jeonnam-gwangyang	전남	광양	광양읍,봉강면,옥룡면,옥곡면,진상면,진월면,다압면,골약동,중마동,광영동,금호동,태인동	중마
jeonnam-damyang	전남	담양군	담양읍,봉산면,고서면,남면,창평면,대덕면,무정면,금성면,용면,월산면,수북면,대전면,가사문학면	
jeonnam-gokseong	전남	곡성군	곡성읍,오곡면,삼기면,석곡면,목사동면,죽곡면,고달면,옥과면,입면,겸면,오산면	
jeonnam-gurye	전남	구례군	구례읍,문척면,간전면,토지면,마산면,광의면,용방면,산동면	
jeonnam-goheung	전남	고흥군	고흥읍,도양읍,풍양면,도덕면,금산면,도화면,포두면,봉래면,동일면,점암면,영남면,과역면,남양면,동강면,대서면,두원면	
jeonnam-boseong	전남	보성군	보성읍,벌교읍,노동면,미력면,겸백면,율어면,복내면,문덕면,조성면,득량면,회천면,웅치면	
jeonnam-hwasun	전남	화순군	화순읍,한천면,춘양면,청풍면,이양면,능주면,도곡면,도암면,이서면,백아면,동복면,남면,동면	
jeonnam-jangheung	전남	장흥군	장흥읍,관산읍,대덕읍,용산면,안양면,장동면,장평면,유치면,부산면,회진면	
jeonnam-gangjin	전남	강진군	강진읍,군동면,칠량면,대구면,도암면,신전면,성전면,작천면,병영면,옴천면,마량면	
jeonnam-haenam	전남	해남군	해남읍,삼산면,화산면,현산면,송지면,북평면,북일면,옥천면,계곡면,마산면,황산면,산이면,문내면,화원면	
jeonnam-yeongam	전남	영암군	영암읍,삼호읍,덕진면,금정면,신북면,시종면,도포면,군서면,서호면,학산면,미암면	
jeonnam-muan	전남	무안군	무안읍,일로읍,삼향읍,몽탄면,청계면,현경면,망운면,해제면,운남면	남악 오룡
jeonnam-hampyeong	전남	함평군	함평읍,손불면,신광면,학교면,엄다면,대동면,나산면,해보면,월야면	
jeonnam-yeonggwang	전남	영광군	영광읍,백수읍,홍농읍,대마면,묘량면,불갑면,군서면,군남면,염산면,법성면,낙월면	
jeonnam-jangseong	전남	장성군	장성읍,진원면,남면,동화면,삼서면,삼계면,황룡면,서삼면,북일면,북이면,북하면	
jeonnam-wando	전남	완도군	완도읍,금일읍,노화읍,군외면,신지면,고금면,약산면,청산면,소안면,금당면,보길면,생일면	
jeonnam-jindo	전남	진도군	진도읍,군내면,고군면,의신면,임회면,지산면,조도면	
jeonnam-sinan	전남	신안군	지도읍,압해읍,증도면,임자면,자은면,비금면,도초면,흑산면,하의면,신의면,장산면,안좌면,팔금면,암태면	
jeonbuk-jeonju	전북	전주	효자동,서신동,평화동,중화산동,삼천동,중앙동,풍남동,노송동,완산동,동서학동,서서학동,인후동,진북동,덕진동,금암동,팔복동,호성동,송천동,조촌동,동산동,여의동,혁신동,우아동,중인동,용복동,아중리,에코시티	완산구 덕진구
jeonbuk-gunsan	전북	군산	수송동,나운동,미장동,지곡동,경암동,구암동,월명동,신풍동,삼학동,소룡동,오식도동,비응도동,개정동,산북동,미성동,중동,해신동,흥남동,옥구읍,대야면,회현면,임피면,서수면,개정면,성산면,나포면,옥도면,옥서면,옥산면	
seoul-gangnam	서울	강남구	역삼동,삼성동,논현동,대치동,청담동,신사동,압구정동,개포동,도곡동,수서동,일원동,세곡동,자곡동,율현동	
seoul-gangdong	서울	강동구	천호동,성내동,길동,둔촌동,암사동,명일동,고덕동,상일동,강일동	
seoul-gangbuk	서울	강북구	미아동,번동,수유동,우이동,인수동,삼양동,송중동,송천동	
seoul-gangseo	서울	강서구	화곡동,등촌동,가양동,발산동,내발산동,외발산동,마곡동,염창동,공항동,방화동,개화동,우장산동	
seoul-gwanak	서울	관악구	봉천동,신림동,남현동,서원동,난곡동,난향동,조원동,미성동	서울대입구
seoul-gwangjin	서울	광진구	자양동,구의동,광장동,중곡동,능동,화양동,군자동	
seoul-guro	서울	구로구	구로동,신도림동,개봉동,고척동,오류동,가리봉동,궁동,온수동,천왕동,항동	
seoul-geumcheon	서울	금천구	가산동,독산동,시흥동	
seoul-nowon	서울	노원구	상계동,중계동,하계동,공릉동,월계동	
seoul-dobong	서울	도봉구	창동,쌍문동,방학동,도봉동	
seoul-dongdaemun	서울	동대문구	전농동,답십리동,장안동,청량리동,제기동,용두동,휘경동,이문동,회기동,신설동,이화동	
seoul-dongjak	서울	동작구	노량진동,상도동,사당동,대방동,신대방동,흑석동,본동	
seoul-mapo	서울	마포구	합정동,서교동,동교동,망원동,연남동,성산동,상암동,공덕동,아현동,도화동,용강동,대흥동,염리동,신수동,서강동,중동,상수동	
seoul-seodaemun	서울	서대문구	신촌동,연희동,홍제동,홍은동,남가좌동,북가좌동,충정로,북아현동,대현동,창천동,천연동,봉원동	
seoul-seocho	서울	서초구	서초동,반포동,잠원동,방배동,양재동,우면동,내곡동,원지동,염곡동,신원동	
seoul-seongdong	서울	성동구	성수동,왕십리동,행당동,응봉동,금호동,옥수동,마장동,사근동,용답동,송정동,도선동,홍익동	
seoul-seongbuk	서울	성북구	성북동,정릉동,길음동,종암동,돈암동,안암동,보문동,삼선동,동선동,월곡동,장위동,석관동	
seoul-songpa	서울	송파구	잠실동,신천동,석촌동,삼전동,가락동,문정동,장지동,방이동,오금동,거여동,마천동,풍납동,송파동,위례동	위례
seoul-yangcheon	서울	양천구	목동,신정동,신월동	
seoul-yeongdeungpo	서울	영등포구	여의도동,영등포동,당산동,문래동,양평동,신길동,대림동,도림동	
seoul-yongsan	서울	용산구	이태원동,한남동,한강로동,이촌동,후암동,용산동,남영동,청파동,원효로,효창동,용문동,서빙고동,보광동,갈월동	
seoul-eunpyeong	서울	은평구	불광동,응암동,역촌동,신사동,증산동,수색동,녹번동,갈현동,구산동,대조동,진관동	연신내
seoul-jongno	서울	종로구	혜화동,명륜동,삼청동,가회동,부암동,평창동,구기동,사직동,교남동,무악동,청운효자동,이화동,종로,인사동,익선동,창신동,숭인동	광화문
seoul-junggu	서울	중구	명동,을지로,충무로,신당동,황학동,중림동,회현동,소공동,장충동,광희동,필동,약수동,청구동,다산동	동대문
seoul-jungnang	서울	중랑구	면목동,상봉동,중화동,묵동,망우동,신내동	
incheon-junggu	인천	인천 중구	신포동,신흥동,항동,중앙동,북성동,송월동,영종동,운서동,용유동,을왕동	영종,영종도,운서
incheon-donggu	인천	인천 동구	만석동,화수동,송현동,화평동,금곡동,창영동,송림동	
incheon-michuhol	인천	인천 미추홀구	도화동,주안동,관교동,문학동,학익동,용현동,숭의동	
incheon-yeonsu	인천	인천 연수구	송도동,연수동,청학동,동춘동,옥련동,선학동	송도
incheon-namdong	인천	인천 남동구	구월동,간석동,만수동,장수동,서창동,논현동,남촌동,도림동	
incheon-bupyeong	인천	인천 부평구	부평동,산곡동,청천동,갈산동,삼산동,부개동,일신동,십정동	
incheon-gyeyang	인천	인천 계양구	계산동,작전동,효성동,계양동,귤현동,임학동,병방동,박촌동,동양동	
incheon-geomdan	인천	인천 검단구	당하동,원당동,마전동,불로동,대곡동,오류동,왕길동,아라동,금곡동,검단동	검단,검단신도시,불로,마전
incheon-yeongjong	인천	인천 영종구	운서동,중산동,운남동,영종동,용유동,을왕동,덕교동,무의동	영종,영종도,인천공항,운서
incheon-jemulpo	인천	인천 제물포구	신포동,신흥동,연안동,도원동,율목동,개항동,만석동,화수동,송현동,송림동,금창동,창영동	제물포,동인천,신포
incheon-seogu	인천	인천 서해구	검암동,경서동,연희동,가정동,석남동,신현동,가좌동,심곡동,청라동,당하동,원당동,마전동,불로동,대곡동,오류동,왕길동,검단	청라
incheon-ganghwa	인천	인천 강화군	강화읍,선원면,불은면,길상면,화도면,양도면,내가면,하점면,양사면,송해면,교동면,삼산면,서도면	
incheon-ongjin	인천	인천 옹진군	북도면,백령면,대청면,덕적면,자월면,영흥면,연평면	
gyeonggi-suwon	경기	수원	영통동,매탄동,원천동,광교동,망포동,권선동,세류동,평동,서둔동,구운동,호매실동,인계동,우만동,화서동,지동,행궁동,파장동,정자동,영화동,송죽동,조원동,연무동	영통,영통구,권선구,팔달구,장안구,광교
gyeonggi-seongnam	경기	성남	분당동,수내동,정자동,서현동,이매동,야탑동,판교동,삼평동,백현동,운중동,금곡동,구미동,궁내동,태평동,수진동,신흥동,단대동,산성동,복정동,위례동,성남동,금광동,은행동,상대원동,하대원동,도촌동	분당,분당구,수정구,중원구,판교
gyeonggi-goyang	경기	고양	일산동,주엽동,대화동,마두동,장항동,백석동,행신동,화정동,능곡동,주교동,성사동,원당동,식사동,중산동,탄현동,풍동,설문동,덕이동,가좌동,고양동,관산동,벽제동,삼송동,원흥동,지축동,향동동,덕은동,정발산동	일산,일산동구,일산서구,덕양구,덕양
gyeonggi-yongin	경기	용인	죽전동,동천동,상현동,풍덕천동,신봉동,성복동,구갈동,신갈동,상갈동,보라동,동백동,마북동,언남동,보정동,김량장동,역북동,삼가동,마평동,유방동,모현읍,포곡읍,남사읍,이동읍,백암면,양지면	수지,수지구,기흥,기흥구,처인구,죽전,동백
gyeonggi-bucheon	경기	부천	중동,상동,송내동,심곡동,원미동,역곡동,소사동,범박동,괴안동,오정동,고강동,성곡동,작동,여월동,춘의동,도당동,약대동,내동,대장동,삼정동	
gyeonggi-ansan	경기	안산	고잔동,중앙동,호수동,사동,본오동,일동,이동,성포동,부곡동,월피동,건건동,사사동,반월동,선부동,와동,원곡동,초지동,신길동,원시동,목내동,대부동	고잔,단원구,상록구
gyeonggi-anyang	경기	안양	안양동,석수동,박달동,비산동,관양동,평촌동,호계동,범계동,귀인동,달안동,부흥동,신촌동,갈산동,부림동	평촌,범계,만안구,동안구
gyeonggi-hwaseong	경기	화성	동탄,반월동,능동,석우동,청계동,영천동,오산동,병점동,진안동,기산동,화산동,봉담읍,향남읍,남양읍,비봉면,마도면,송산면,서신면,팔탄면,장안면,우정읍,정남면,양감면	동탄,봉담,향남
gyeonggi-namyangju	경기	남양주	다산동,별내동,별내면,진접읍,오남읍,화도읍,평내동,호평동,금곡동,일패동,이패동,삼패동,수석동,지금동,도농동,수동면,조안면,와부읍,퇴계원읍,진건읍	다산,별내,평내,호평
gyeonggi-pyeongtaek	경기	평택	비전동,세교동,동삭동,서정동,장당동,지산동,통복동,평택동,죽백동,청북읍,포승읍,안중읍,팽성읍,서탄면,진위면,고덕면,오성면,현덕면,신장동,지제동	송탄,안중
gyeonggi-uijeongbu	경기	의정부	의정부동,호원동,장암동,신곡동,송산동,금오동,가능동,녹양동,낙양동,민락동,용현동,고산동	
gyeonggi-siheung	경기	시흥	정왕동,배곧동,신천동,대야동,은행동,매화동,목감동,능곡동,장현동,월곶동,군자동,거모동,과림동,계수동,포동,하중동,물왕동	배곧,정왕
gyeonggi-paju	경기	파주	금촌동,교하동,운정동,문산읍,파주읍,법원읍,조리읍,월롱면,탄현면,광탄면,파평면,적성면,군내면,장단면	운정
